year,1,2,3,4,5,6,7,8,9,10,11,12
1950,-99.99,-0.27,-0.36,-0.38,-0.41,-0.43,-0.46,-0.45,-0.38,-0.34,-0.35,-0.40
1951,-0.46,-0.49,-0.50,-0.42,-0.28,-0.11,0.02,0.06,0.08,0.05,0.09,0.15
1952,0.19,0.18,0.16,0.19,0.18,0.16,0.12,0.11,0.08,0.06,-0.02,-0.12
1953,-0.15,-0.08,0.02,0.11,0.10,0.06,0.01,0.01,-0.00,0.01,0.05,0.09
1954,0.13,0.14,0.16,0.09,-0.01,-0.12,-0.16,-0.17,-0.22,-0.25,-0.30,-0.27
1955,-0.30,-0.26,-0.26,-0.13,-0.09,-0.04,-0.08,-0.08,-0.05,-0.00,0.04,0.00
1956,-0.06,-0.09,-0.07,-0.06,-0.17,-0.23,-0.25,-0.20,-0.17,-0.13,-0.08,-0.03
1957,0.03,0.06,0.07,0.06,0.09,0.11,0.13,0.17,0.19,0.16,0.11,0.05
1958,0.00,0.08,0.19,0.31,0.31,0.30,0.35,0.39,0.39,0.36,0.38,0.36
1959,0.37,0.30,0.27,0.17,0.05,-0.01,-0.06,-0.01,0.06,0.14,0.16,0.14
1960,0.16,0.17,0.15,0.14,0.16,0.16,0.10,0.09,0.17,0.29,0.30,0.25
1961,0.21,0.23,0.23,0.17,0.04,-0.05,-0.10,-0.10,-0.11,-0.10,-0.00,0.08
1962,0.22,0.28,0.28,0.19,0.07,0.11,0.16,0.23,0.22,0.16,0.13,0.09
1963,0.08,0.14,0.19,0.17,0.06,-0.05,-0.07,-0.05,-0.04,-0.03,-0.06,-0.06
1964,-0.03,0.05,0.10,0.17,0.13,0.08,-0.03,-0.07,-0.10,-0.09,-0.13,-0.16
1965,-0.17,-0.18,-0.14,-0.19,-0.21,-0.27,-0.27,-0.24,-0.18,-0.09,-0.01,0.01
1966,-0.00,-0.05,-0.06,-0.10,-0.18,-0.24,-0.25,-0.14,-0.07,-0.09,-0.15,-0.25
1967,-0.25,-0.19,-0.11,-0.10,-0.18,-0.29,-0.35,-0.36,-0.27,-0.20,-0.11,-0.12
1968,-0.13,-0.19,-0.18,-0.16,-0.17,-0.23,-0.22,-0.12,-0.01,0.05,0.05,0.05
1969,0.01,-0.01,0.05,0.11,0.13,0.12,0.11,0.14,0.10,0.10,0.04,0.01
1970,-0.04,-0.02,0.05,0.04,-0.00,-0.12,-0.18,-0.17,-0.15,-0.12,-0.14,-0.12
1971,-0.09,-0.10,-0.20,-0.28,-0.34,-0.34,-0.38,-0.40,-0.33,-0.24,-0.15,-0.09
1972,-0.06,-0.04,-0.08,-0.18,-0.39,-0.52,-0.51,-0.35,-0.20,-0.07,0.03,0.06
1973,0.06,0.08,0.05,0.02,-0.09,-0.13,-0.19,-0.23,-0.24,-0.20,-0.24,-0.31
1974,-0.36,-0.29,-0.24,-0.25,-0.29,-0.37,-0.42,-0.49,-0.49,-0.46,-0.41,-0.38
1975,-0.29,-0.17,-0.09,-0.07,-0.13,-0.20,-0.27,-0.29,-0.29,-0.30,-0.37,-0.49
1976,-0.60,-0.57,-0.45,-0.34,-0.34,-0.35,-0.31,-0.29,-0.29,-0.31,-0.27,-0.22
1977,-0.18,-0.11,-0.08,-0.09,-0.17,-0.18,-0.22,-0.22,-0.26,-0.18,-0.10,-0.05
1978,-0.08,-0.11,-0.09,-0.03,-0.08,-0.15,-0.22,-0.18,-0.16,-0.07,-0.01,-0.01
1979,-0.07,-0.17,-0.19,-0.19,-0.21,-0.20,-0.26,-0.32,-0.32,-0.29,-0.19,-0.14
1980,-0.07,-0.03,-0.03,0.04,0.06,0.10,0.04,0.05,0.05,0.07,-0.01,-0.11
1981,-0.14,-0.13,-0.10,-0.10,-0.10,-0.08,-0.11,-0.10,-0.15,-0.16,-0.16,-0.13
1982,-0.04,0.04,0.07,-0.03,-0.14,-0.19,-0.16,-0.15,-0.18,-0.21,-0.17,-0.12
1983,-0.07,-0.09,-0.16,-0.19,-0.14,-0.04,0.03,0.02,0.06,0.11,0.18,0.14
1984,0.07,-0.05,-0.12,-0.17,-0.31,-0.45,-0.57,-0.57,-0.52,-0.45,-0.37,-0.32
1985,-0.30,-0.27,-0.25,-0.19,-0.11,-0.09,-0.15,-0.23,-0.24,-0.23,-0.23,-0.20
1986,-0.13,-0.09,-0.11,-0.15,-0.23,-0.26,-0.31,-0.32,-0.34,-0.26,-0.15,-0.07
1987,-0.08,-0.07,-0.14,-0.16,-0.16,-0.03,0.07,0.17,0.13,0.07,0.01,-0.02
1988,-0.03,-0.10,-0.14,-0.13,-0.11,-0.11,-0.15,-0.23,-0.27,-0.23,-0.20,-0.15
1989,-0.20,-0.26,-0.32,-0.33,-0.28,-0.22,-0.19,-0.18,-0.21,-0.17,-0.11,-0.06
1990,0.02,0.06,0.09,0.04,-0.01,-0.07,-0.06,-0.03,0.03,0.01,-0.02,0.00
1991,0.03,0.02,0.02,0.03,0.02,-0.04,-0.07,-0.06,-0.10,-0.20,-0.27,-0.29
1992,-0.22,-0.17,-0.14,-0.23,-0.22,-0.13,-0.05,-0.07,-0.19,-0.20,-0.17,-0.07
1993,-0.07,-0.12,-0.24,-0.31,-0.28,-0.22,-0.16,-0.19,-0.17,-0.16,-0.12,-0.12
1994,-0.09,-0.06,0.00,0.04,0.01,-0.09,-0.21,-0.23,-0.17,0.00,0.11,0.16
1995,0.12,0.09,0.11,0.17,0.21,0.20,0.15,0.12,0.08,0.05,0.03,-0.00
1996,-0.01,-0.05,-0.07,-0.13,-0.19,-0.26,-0.28,-0.22,-0.19,-0.16,-0.23,-0.24
1997,-0.26,-0.19,-0.18,-0.12,-0.08,0.04,0.11,0.12,0.04,-0.02,0.03,0.11
1998,0.21,0.17,0.15,0.13,0.32,0.47,0.58,0.50,0.46,0.39,0.36,0.32
1999,0.27,0.23,0.18,0.21,0.19,0.12,0.09,0.09,0.09,0.03,-0.08,-0.16
2000,-0.22,-0.20,-0.15,-0.05,-0.04,-0.04,-0.07,-0.04,-0.01,0.00,0.02,-0.01
2001,-0.00,0.00,0.03,0.02,0.03,0.06,0.09,0.14,0.11,0.10,0.12,0.16
2002,0.19,0.18,0.22,0.22,0.12,0.00,-0.01,0.06,0.17,0.23,0.23,0.20
2003,0.23,0.35,0.41,0.41,0.30,0.16,0.09,0.09,0.19,0.24,0.22,0.19
2004,0.18,0.19,0.16,0.07,0.09,0.14,0.22,0.17,0.16,0.18,0.21,0.14
2005,0.07,0.10,0.17,0.25,0.28,0.34,0.38,0.35,0.28,0.21,0.17,0.12
2006,0.04,0.00,0.04,0.14,0.16,0.11,0.10,0.17,0.26,0.25,0.20,0.20
2007,0.30,0.36,0.37,0.30,0.22,0.16,0.13,0.12,0.12,0.09,0.11,0.06
2008,0.06,-0.01,-0.02,-0.02,-0.01,-0.06,-0.08,-0.06,-0.01,-0.05,-0.12,-0.14
2009,-0.14,-0.12,-0.09,-0.03,0.08,0.15,0.22,0.29,0.38,0.41,0.42,0.29
2010,0.22,0.15,0.20,0.31,0.39,0.40,0.36,0.27,0.20,0.10,-0.01,-0.13
2011,-0.20,-0.13,0.02,0.12,0.21,0.16,0.18,0.16,0.11,0.04,0.02,0.05
2012,0.12,0.13,0.13,0.15,0.20,0.24,0.24,0.28,0.33,0.34,0.35,0.31
2013,0.36,0.30,0.21,0.08,0.01,-0.03,-0.03,-0.03,0.18,0.29,0.32,0.20
2014,0.16,0.19,0.23,0.18,0.10,0.13,0.21,0.30,0.34,0.35,0.35,0.36
2015,0.40,0.43,0.41,0.40,0.32,0.28,0.28,0.43,0.52,0.58,0.55,0.57
2016,0.53,0.55,0.55,0.62,0.63,0.67,0.60,0.55,0.52,0.51,0.47,0.45
2017,0.46,0.45,0.42,0.33,0.27,0.27,0.32,0.35,0.34,0.34,0.43,0.47
2018,0.44,0.41,0.39,0.31,0.21,0.09,0.07,0.12,0.16,0.18,0.19,0.23
2019,0.30,0.36,0.35,0.27,0.26,0.31,0.39,0.38,0.34,0.35,0.37,0.41
2020,0.43,0.43,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
